"","Name","Fraction_Zoonotic","no_viruses","no_zoonotic"
"1","No Common Name","0.22279792746114","386","86"
"2","Family_Papillomaviridae","0","42","0"
"3","Family_Herpesviridae","0.0298507462686567","67","2"
"4","Family_Retroviridae","0","21","0"
"5","Family_Parvoviridae","0","21","0"
"6","Order_Nidovirales","0","20","0"
"7","Subfamily_Sedoreovirinae","0.8","5","4"
"8","Genus_Lyssavirus","0.545454545454545","11","6"
"9","Family_Orthomyxoviridae","0.666666666666667","6","4"
"10","Genus_Parapoxvirus","0.666666666666667","6","4"
"11","Order_Herpesvirales; Family_Herpesviridae; Subfamily_Gammaherpesvirinae; Genus_Lymphocryptovirus","1","1","1"
